topology,target,BC1,BC2,BC3,BC4,BC5,BC6,P2.csv0,P2.csv1,P2.csvmean,P2.csvstd,time,P1.csv0,P1.csv1,P1.csvmean,P1.csvstd,A2.csv0,A2.csv1,A2.csvmean,A2.csvstd,H2.csv0,H2.csv1,H2.csvmean,H2.csvstd,N_H2.csv0,N_H2.csv1,A1.csv0,A1.csv1,A1.csvmean,A1.csvstd,H1.csv0,H1.csv1,H1.csvmean,H1.csvstd,N_H1.csv0,N_H1.csv1
0,1,0,0,1,0,0,0,-0.4001296273014219,-67.58331508594564,-33.99172235662353,191.87690425317777,2.0,6.094254622165438,9.822955845915107,7.9586052340402755,827.8483650523752,0.0003297968632968,0.0003526235490468,0.0003412102061718,0.0020008741703925,-0.0005594375610351,0.0004749328613281,-4.2252349853515625e-05,0.2089373437880329,,,0.0001392014402031,0.000135072452164,0.0001371369461835,0.0004534351833046,0.0013685821533203,0.0006525665283203,0.0010105743408203,0.1538738768021291,,
0,1,0,0,0,1,0,0,,,,,15.0,,,,,,,,,-0.0015502059936523,0.0014097610473632,-7.022247314453125e-05,0.1442281760504329,-6.4996337890625e-05,-6.6485595703125e-05,,,,,0.0003391967773437,0.0007464462280273,0.0005428215026855,0.2596371937103288,0.0007784561157226,0.0008790634155273
0,1,1,0,0,0,0,0,-2.355198518217047,-7.871180103682078,-5.113189310949563,147.4297045363458,20.0,7.420027005961594,12.391982811365876,9.906004908663736,832.8489343576539,0.0010251883593125,0.000954955771125,0.0009900720652187,0.001995462742315,-0.0007948196411132,0.0027604537963867,0.0009828170776367,0.1858004808659304,-6.8499755859375e-05,-6.411285400390625e-05,0.0003419616520625,0.0003330263171484,0.0003374939846054,0.000560857019603,0.0024582229614257,-0.0005110610961914,0.0009735809326171,0.1460390251556304,0.0008030654907226,0.000850862121582
1,1,0,1,0,0,0,0,-20.85656574771675,28.83910604820725,3.991270150245253,146.58385625189277,22.0,49.741757866627296,10.73269369261786,30.23722577962257,3456.940631514354,-0.00058245173465,-0.000526264419225,-0.0005543580769374,0.0012998874818496,-0.0012780197143554,9.31427001953125e-05,-0.00059243850708,0.1436637719113132,-6.411285400390625e-05,-7.018585205078126e-05,-0.000217392437875,-0.0001767787601953,-0.0001970855990351,0.0133902456163244,-0.0006328018188476,0.0044297790527343,0.0018984886169433,0.299614167193671,0.000850862121582,0.0008039321899414
1,1,0,0,0,1,0,0,,,,,25.0,,,,,,,,,-0.0012489013671875,6.1407470703125e-05,-0.0005937469482421,0.0909135102094542,-7.018585205078126e-05,-6.6796875e-05,,,,,-0.0016251022338867,-0.0012209579467773,-0.001423030090332,0.1899349205976593,0.0008039321899414,0.0008683990478515
1,1,0,0,0,0,0,1,,,,,17.0,,,,,,,,,0.0005378601074218,-0.0005279663085937,4.9468994140625e-06,0.0730154068125554,,,,,,,0.0009521682739257,0.0001968505859375,0.0005745094299316,0.1362110147612748,,
0,1,0,0,1,0,0,0,225.53975051465417,-0.4001296273014219,112.56981044367636,223.13741225567543,0.0,6.878686476693125,6.094254622165438,6.4864705494292805,778.6321681148053,0.0003492236479218,0.0003297968632968,0.0003395102556093,0.0020009254321731,-0.0015941467285156,-0.0005594375610351,-0.0010767921447753,0.1895688933354735,,,0.0001404488864765,0.0001392014402031,0.0001398251633398,0.0004383281162712,0.0007440460205078,0.0013685821533203,0.001056314086914,0.148962403823179,,
0,1,0,0,0,0,0,1,,,,,17.0,,,,,,,,,0.0035242752075195,-0.0020597045898437,0.0007322853088378,0.4269234471776876,,,,,,,-0.0003576553344726,0.0016889770507812,0.0006656608581542,0.1875249805399692,,
0,1,0,0,1,0,0,0,126.08404246848868,-27.71635417836067,49.18384414506402,211.21882787682785,22.0,5.160626650812343,4.538076039734188,4.849351345273266,729.560286926803,0.0003414805508593,0.0003314425432031,0.0003364615470312,0.0020010686493492,-0.0009712799072265,0.0018146133422851,0.0004216667175292,0.2756568298707962,,,0.0001195882477968,0.0001350419589453,0.000127315103371,0.0004232794002556,0.0004466247558593,0.0005956649780273,0.0005211448669433,0.155546926161863,,
1,1,0,1,0,0,0,0,-22.63435472102222,39.39171267126901,8.378678975123405,117.30566094875095,10.0,45.37616582600761,-2.6994611315063124,21.338352347250645,3509.199633691665,-0.0013343684000187,-0.0010639340621125,-0.0011991512310656,0.0013079064012579,-0.0003105834960937,-0.0007751815795898,-0.0005428825378417,0.1167326205691506,-6.200408935546876e-05,-6.897125244140625e-05,-0.0005469164577656,-0.0004414951035859,-0.0004942057806757,0.0133725572448318,0.0009152160644531,-0.0018101806640625,-0.0004474822998046,0.2561751704518117,0.0007967712402343,0.0008770797729492
1,1,0,0,1,0,0,0,-109.74615213896244,112.95631811609864,1.605082988568115,204.9377965510116,0.0,-25.283093599298983,676.4540237601518,325.58546508042645,4440.671032061598,0.0002737881409187,0.00016283332705,0.0002183107339843,0.0015230814347377,0.0003857192993164,-0.0015580444335937,-0.0005861625671386,0.1564225157906322,,,0.0001260754493046,0.0001623912469375,0.000144233348121,0.000991280426273,0.002447215270996,-0.0030587921142578,-0.0003057884216308,0.2863112984238687,,
