{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 1, 'timestamp': '2024-10-21T15:12:37.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00022761700222710853, 'cost_qom': 1.1592700331560006, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.2823333144187927, 'performance_post': 0.4886666536331177, 'performance_test': 0.0}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 1, 'timestamp': '2024-10-21T15:12:47.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.0001661413278984934, 'cost_qom': 1.0136397224465217, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.27533334493637085, 'performance_post': 0.46033334732055664, 'performance_test': 0.0}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 2, 'timestamp': '2024-10-21T15:13:23.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00015614229529254322, 'cost_qom': 0.8015319328086359, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.0913332998752594, 'performance_post': 0.5323333144187927, 'performance_test': 0.4410000145435333}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 2, 'timestamp': '2024-10-21T15:13:25.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00019497641897127157, 'cost_qom': 0.9389129679588102, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': 0.11433333158493042, 'performance_post': 0.5270000100135803, 'performance_test': 0.4126666784286499}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 2, 'timestamp': '2024-10-21T15:13:26.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0001990821480886588, 'cost_qom': 1.1592943684583665, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.13199999928474426, 'performance_post': 0.5733333230018616, 'performance_test': 0.4413333237171173}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 2, 'timestamp': '2024-10-21T15:13:27.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.022864979100270365, 'cost_qom': 1.059520321559494, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.12933334708213806, 'performance_post': 0.5410000085830688, 'performance_test': 0.4116666615009308}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 2, 'timestamp': '2024-10-21T15:13:26.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0001530760674517119, 'cost_qom': 1.130903831855072, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.13466668128967285, 'performance_post': 0.5566666722297668, 'performance_test': 0.421999990940094}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 2, 'timestamp': '2024-10-21T15:13:26.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.00022064444299894922, 'cost_qom': 1.0416324493924367, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': 0.1276666820049286, 'performance_post': 0.5376666784286499, 'performance_test': 0.4099999964237213}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 2, 'timestamp': '2024-10-21T15:13:27.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.01995773784663739, 'cost_qom': 0.9800305774057366, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.11633330583572388, 'performance_post': 0.5396666526794434, 'performance_test': 0.4233333468437195}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 2, 'timestamp': '2024-10-21T15:13:43.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.0, 'cost_qom': 1.081434657613074, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.1276666820049286, 'performance_post': 0.5533333420753479, 'performance_test': 0.4256666600704193}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 2, 'timestamp': '2024-10-21T15:13:35.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00016596041354585163, 'cost_qom': 0.9587732014045826, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.109333336353302, 'performance_post': 0.550000011920929, 'performance_test': 0.44066667556762695}
