{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 9, 'timestamp': '2024-11-05T11:00:03.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.7519999742507935}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 9, 'timestamp': '2024-11-05T10:59:57.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00016723161832322677, 'cost_qom': 0.0, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': -0.008800029754638672, 'performance_post': 0.774399995803833, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 9, 'timestamp': '2024-11-05T10:59:57.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.0002275267716083676, 'cost_qom': 0.25181906524316844, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': 0.01639997959136963, 'performance_post': 0.7879999876022339, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 9, 'timestamp': '2024-11-05T10:59:58.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.0002276267769727856, 'cost_qom': 0.07959634143921512, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': 0.0051999688148498535, 'performance_post': 0.774399995803833, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 10, 'timestamp': '2024-11-05T11:00:21.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0002190315323994061, 'cost_qom': 0.0, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': -0.00959998369216919, 'performance_post': 0.7892000079154968, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 10, 'timestamp': '2024-11-05T11:00:22.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00022949065297695617, 'cost_qom': 0.0, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': -0.003999948501586914, 'performance_post': 0.7796000242233276, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 10, 'timestamp': '2024-11-05T11:00:20.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00014974786797358668, 'cost_qom': 0.18846040772155206, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': 0.011999964714050293, 'performance_post': 0.8011999726295471, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 10, 'timestamp': '2024-11-05T11:00:18.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00016728190155518912, 'cost_qom': 0.068856485807893, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': 0.0043999552726745605, 'performance_post': 0.7907999753952026, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 10, 'timestamp': '2024-11-05T11:00:18.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00011454474800433693, 'cost_qom': 0.15993865132971796, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': 0.010399997234344482, 'performance_post': 0.7832000255584717, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 10, 'timestamp': '2024-11-05T11:00:22.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00022997677836045623, 'cost_qom': 0.0, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': -0.012000024318695068, 'performance_post': 0.7563999891281128, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 10, 'timestamp': '2024-11-05T11:00:22.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.00023024709282071023, 'cost_qom': 0.0, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': -0.013599991798400879, 'performance_post': 0.7784000039100647, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 10, 'timestamp': '2024-11-05T11:00:27.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.7799999713897705}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 11, 'timestamp': '2024-11-05T11:00:42.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.0015398013838782906, 'cost_qom': 0.0, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': -0.014800012111663818, 'performance_post': 0.7680000066757202, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 11, 'timestamp': '2024-11-05T11:00:42.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.0001793119960026032, 'cost_qom': 0.07569038960538207, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': 0.004800021648406982, 'performance_post': 0.7972000241279602, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 11, 'timestamp': '2024-11-05T11:00:46.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0002516587053432734, 'cost_qom': 0.0, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': -0.029999971389770508, 'performance_post': 0.7788000106811523, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 11, 'timestamp': '2024-11-05T11:00:45.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00018774528532977574, 'cost_qom': 0.0, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': -0.0051999688148498535, 'performance_post': 0.7972000241279602, 'performance_test': 0.0}
